"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CTSLP2",4.3074573716374,1.40008400383894,0.99678222848555,1.40460369760619,0.160139156494359,NA
"AGAP12P",5.53187636825558,1.68153643486706,0.868729628646377,1.93562689635343,0.0529134137549247,NA
"FRMPD2",1.66864406528684,1.1068656035129,1.80514711350503,0.613171965449237,0.539762639537995,NA
"OR10R2",0,NA,NA,NA,NA,NA
"OR10J3",0.158633501614111,0.919876486434925,4.0804728567969,0.225433796208857,0.821641822635319,NA
"OR10H5",0,NA,NA,NA,NA,NA
"OR10H4",0,NA,NA,NA,NA,NA
"OR1S2",0,NA,NA,NA,NA,NA
"OR10A2",0,NA,NA,NA,NA,NA
"NBPF7",0.302298708767401,-0.0418953750902114,3.93451889312522,-0.0106481570500056,0.991504160436748,NA
"FYB2",4.28331930867945,0.418079352522376,1.00094071914761,0.417686426902893,0.676176397386416,NA
"BTBD16",0.324980507999662,1.81071594702098,4.03823061874885,0.448393397497934,0.653869305979934,NA
"MIR4294",0,NA,NA,NA,NA,NA
"FAM170B-AS1",0,NA,NA,NA,NA,NA
"C10orf71-AS1",4.61903791383816,0.591115942993536,1.0503169874696,0.562797660178417,0.573572673786341,NA
"BLK",0,NA,NA,NA,NA,NA
"TRPA1",0.162490253999831,0.919876486434925,4.0804728567969,0.225433796208857,0.821641822635319,NA
"KIAA1210",0,NA,NA,NA,NA,NA
"MTSS1",6.45442749527676,0.311419498299013,1.09215255002275,0.285142856913647,0.775534697234469,NA
"NLRC4",0,NA,NA,NA,NA,NA
"EIF3C",4.89190303012212,0.0306763845152705,0.894113949405542,0.0343092561475703,0.972630543877969,NA
"DIRAS3",3.27924623462893,1.11232927543941,1.42097904856137,0.782790764273092,0.433749991959594,NA
"MIR299",0,NA,NA,NA,NA,NA
"LOC100507412",0.33698716832424,1.85629066648974,4.03420714992267,0.460137667081702,0.64541740887172,NA
"KLK2",0,NA,NA,NA,NA,NA
"LINC00319",0,NA,NA,NA,NA,NA
"LINC-ROR",0.350431032531787,-0.0418943566241448,3.74309940986002,-0.0111924242550939,0.991069923934936,NA
"HOPX",0,NA,NA,NA,NA,NA
"CHRNB4",2.83824428014988,2.10187374014592,1.72546219626022,1.21815113927245,0.223166543346212,NA
"TFDP3",0,NA,NA,NA,NA,NA
"TEX35",0,NA,NA,NA,NA,NA
"LOC102724719",2.19347957749652,-0.33154761255068,1.42557106314992,-0.232571789033159,0.816093935738173,NA
"PRAMEF33",0,NA,NA,NA,NA,NA
"LOC105378305",0,NA,NA,NA,NA,NA
"HNRNPCL4",0,NA,NA,NA,NA,NA
"TRAF3IP3",0.350985013527506,-1.95560856930793,4.03343448678334,-0.484849469035884,0.627783128803674,NA
"ERP27",0,NA,NA,NA,NA,NA
"HELT",0,NA,NA,NA,NA,NA
"NR1H4",0.162490253999831,0.919876486434925,4.0804728567969,0.225433796208857,0.821641822635319,NA
"LOC105378311",0,NA,NA,NA,NA,NA
"MIR548F1",0,NA,NA,NA,NA,NA
"MIR3924",0,NA,NA,NA,NA,NA
"PRSS40A",0,NA,NA,NA,NA,NA
"SSTR5-AS1",0,NA,NA,NA,NA,NA
"CLCN1",0,NA,NA,NA,NA,NA
"SLC16A9",0.16849358416212,0.919876486434925,4.0804728567969,0.225433796208857,0.821641822635319,NA
"LINC01553",0,NA,NA,NA,NA,NA
"C17orf78",1.60068393775607,-1.96982983566033,1.68006991703025,-1.17246896435255,0.241008825408693,NA
"TVP23A",0.317267003228222,1.78062835157827,4.04095506361726,0.440645422566105,0.659469713673225,NA
"LINC00845",0.327127085776231,1.81875409198243,3.79365845779413,0.479419566156718,0.631640176732935,NA
"TMEM26-AS1",0,NA,NA,NA,NA,NA
"AQP4",0,NA,NA,NA,NA,NA
"UNC5A",0.658110923938182,2.82552385433776,2.5195728086293,1.121429729937,0.262104987162328,NA
"PCDHA1",0,NA,NA,NA,NA,NA
"LOC283045",0.494650220680796,-2.46106868840934,3.28444534775843,-0.749310287683421,0.4536702085702,NA
